id	name	parentid	order
314	张家界	19	8
315	益阳	19	9
316	郴州	19	10
317	永州	19	11
318	怀化	19	12
319	娄底	19	13
320	湘西	19	14
321	广州	20	1
322	韶关	20	2
323	深圳	20	3
324	珠海	20	4
325	汕头	20	5
326	佛山	20	6
327	江门	20	7
328	湛江	20	8
329	茂名	20	9
330	肇庆	20	10
331	惠州	20	11
332	梅州	20	12
333	汕尾	20	13
334	河源	20	14
335	阳江	20	15
336	清远	20	16
337	东莞	20	17
338	中山	20	18
339	潮州	20	19
340	揭阳	20	20
341	云浮	20	21
342	南宁	21	1
343	柳州	21	2
344	桂林	21	3
345	梧州	21	4
346	北海	21	5
347	防城港	21	6
348	钦州	21	7
349	贵港	21	8
350	玉林	21	9
351	百色	21	10
352	贺州	21	11
353	河池	21	12
354	来宾	21	13
355	崇左	21	14
356	海口	22	1
357	三亚	22	2
358	三沙	22	3
359	五指山	22	4
360	琼海	22	5
361	儋州	22	6
362	文昌	22	7
363	万宁	22	8
364	东方	22	9
365	定安	22	10
366	屯昌	22	11
367	澄迈	22	12
368	临高	22	13
369	白沙	22	14
370	昌江	22	15
371	乐东	22	16
372	陵水	22	17
373	保亭	22	18
374	琼中	22	19
375	成都	23	1
376	自贡	23	2
377	攀枝花	23	3
378	泸州	23	4
379	德阳	23	5
380	绵阳	23	6
381	广元	23	7
382	遂宁	23	8
383	内江	23	9
384	乐山	23	10
385	南充	23	11
386	眉山	23	12
387	宜宾	23	13
388	广安	23	14
389	达州	23	15
390	雅安	23	16
391	巴中	23	17
392	资阳	23	18
393	阿坝	23	19
394	甘孜	23	20
395	凉山	23	21
396	贵阳	24	1
397	六盘水	24	2
398	遵义	24	3
399	安顺	24	4
400	毕节	24	5
401	铜仁	24	6
402	黔西南	24	7
403	黔东南	24	8
404	黔南	24	9
405	昆明	25	1
406	曲靖	25	2
407	玉溪	25	3
408	昭通	25	4
409	丽江	25	5
410	普洱	25	6
411	临沧	25	7
412	楚雄	25	8
413	红河	25	9
